Belgium, Life expectancy at birth (period, 1x1)	Last modified: 14 Nov 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
  1973        74.92    68.42    71.63
  1974        75.23    68.77    71.97
  1975        75.21    68.78    71.96
  1976        75.41    68.86    72.10
  1977        76.06    69.49    72.76
  1978        76.06    69.39    72.70
  1979        76.52    69.91    73.20
  1980        76.66    69.87    73.24
  1981        77.04    70.28    73.65
  1982        77.16    70.59    73.88
  1983        77.14    70.61    73.88
  1984        77.78    70.95    74.37
  1985        77.87    71.07    74.47
  1986        77.99    71.32    74.67
  1987        78.62    71.91    75.29
  1988        78.91    72.21    75.59
  1989        78.92    72.32    75.65
  1990        79.33    72.70    76.06
  1991        79.47    72.85    76.20
  1992        79.67    72.97    76.36
  1993        79.74    72.94    76.36
  1994        79.99    73.35    76.71
  1995        80.18    73.44    76.84
  1996        80.46    73.83    77.19
  1997        80.55    74.16    77.40
  1998        80.56    74.30    77.47
  1999        80.87    74.37    77.65
  2000        80.90    74.57    77.77
  2001        81.16    74.92    78.08
  2002        81.18    75.08    78.17
  2003        81.20    75.36    78.32
  2004        81.85    75.97    78.96
  2005        81.85    76.15    79.05
  2006        82.15    76.52    79.39
  2007        82.20    76.74    79.53
  2008        82.31    76.77    79.58
  2009        82.43    77.16    79.85
  2010        82.63    77.36    80.05
  2011        82.86    77.77    80.37
  2012        82.83    77.63    80.26
  2013        82.92    77.94    80.47
  2014        83.51    78.56    81.08
  2015        83.15    78.56    80.89
  2016        83.68    78.79    81.27
  2017        83.65    79.00    81.36
  2018        83.69    79.21    81.48
  2019        84.01    79.60    81.84
  2020        83.06    78.54    80.80
  2021        84.04    79.25    81.66
  2022        83.81    79.57    81.71
